iter	R2	RMSE
575	0.8840396021	31450.33346
576	0.8841231116	31439.00687
577	0.8842066756	31427.66878
578	0.8842142765	31426.63728
579	0.8842689914	31419.21102
580	0.8844407809	31395.88325
581	0.8845467078	31381.49048
582	0.8847198373	31357.95239
583	0.8847271951	31356.95166
584	0.8847928467	31348.02099
585	0.884810498	31345.61942
586	0.8848903855	31334.74797
587	0.885041677	31314.14917
588	0.8851363248	31301.25568
589	0.8851389935	31300.89206
590	0.8852372528	31287.50083
591	0.8853612433	31270.59464
592	0.8853812506	31267.86577
593	0.8855139391	31249.7619
594	0.8855608711	31243.35603
595	0.8857162156	31222.14331
596	0.8857834033	31212.96417
597	0.8859146981	31195.01897
598	0.8859166573	31194.75112
599	0.8860041452	31182.78755
600	0.88617296	31159.68993
601	0.886248697	31149.32186
602	0.8863285514	31138.38639
603	0.8863360152	31137.36408
604	0.8864945429	31115.64279
605	0.8865110107	31113.38553
606	0.8865337307	31110.27098
607	0.8867680947	31078.12533
608	0.8867747149	31077.21681
609	0.8867767307	31076.94017
610	0.8868951168	31060.68891
611	0.8869021639	31059.72126
612	0.8869090512	31058.77553
613	0.8869769921	31049.44464
614	0.887098748	31032.71587
615	0.887195554	31019.40867
616	0.8872021093	31018.50736
617	0.8873396864	30999.58529
618	0.887450895	30984.28146
619	0.8874575095	30983.37097
620	0.8875758204	30967.08097
621	0.8875906779	30965.03466
622	0.8876326536	30959.25266
623	0.8877476281	30943.40983
624	0.8877796703	30938.99315
625	0.8879601724	30914.10104
626	0.8879850568	30910.6678
627	0.888130626	30890.57625
628	0.8882143571	30879.01373
629	0.8883293967	30863.12071
630	0.8884012881	30853.18457
631	0.8885534319	30832.14614
632	0.8886692382	30816.12283
633	0.888770518	30802.10263
634	0.8888472718	30791.47331
635	0.8889584269	30776.07339
636	0.8891235715	30753.17929
637	0.8892451026	30736.32047
638	0.8893405475	30723.07385
639	0.8894175667	30712.38032
640	0.8895991487	30687.15432
641	0.8897164756	30670.84382
642	0.889854021	30651.71154
643	0.8899979122	30631.68379
644	0.8901286422	30613.47654
645	0.8901969896	30603.95323
646	0.8903346006	30584.76997
647	0.8904611198	30567.1223
648	0.8905815192	30550.31878
649	0.8907352437	30528.85083
650	0.8908984515	30506.04198
651	0.8909504217	30498.77538
652	0.890952167	30498.53132
653	0.8911365666	30472.73394
654	0.8912495081	30456.92271
655	0.8913271171	30446.05308
656	0.8914934241	30422.74769
657	0.8915212992	30418.83966
658	0.8916885593	30395.37966
659	0.8918415046	30373.9116
660	0.8918996905	30365.7404
661	0.8919016646	30365.46312
662	0.8920468451	30345.06524
663	0.8922000687	30323.52243
664	0.8923087071	30308.23888
665	0.892400562	30295.31047
666	0.8925225011	30278.13924
667	0.8926445632	30260.94092
668	0.8928506887	30231.87603
669	0.8929448325	30218.59191
670	0.8930198553	30208.00167
671	0.8931659729	30187.36499
672	0.8933201626	30165.57296
673	0.8934796327	30143.01806
674	0.893624735	30122.48062
675	0.8936958972	30112.40337
676	0.8938492966	30090.66907
677	0.8939710518	30073.40707
678	0.894053281	30061.7433
679	0.8941687048	30045.36344
680	0.8942281893	30036.91846
681	0.8944234679	30009.1782
682	0.8945158861	29996.0408
683	0.8947043488	29969.23268
684	0.894763591	29960.80074
685	0.8948496018	29948.5546
686	0.8950110185	29925.55872
687	0.8951375664	29907.51796
688	0.8952838785	29886.64606
689	0.8954134314	29868.15272
690	0.8954219153	29866.94127
691	0.8955604426	29847.15338
692	0.8956714328	29831.28956
693	0.895802304	29812.5733
694	0.8958543422	29805.12789
695	0.8959127662	29796.76663
696	0.8959661111	29789.1302
697	0.8960719401	29773.97478
698	0.8962064636	29754.69897
699	0.8962812472	29743.97786
700	0.8963879228	29728.67795
701	0.8965243525	29709.0991
702	0.8967012618	29683.69185
703	0.8968105986	29667.9783
704	0.8968664453	29659.94897
705	0.8970103284	29639.25224
706	0.8971497364	29619.18544
707	0.8972489226	29604.89998
708	0.8974482854	29576.16558
709	0.8974522752	29575.59025
710	0.897535207	29563.62873
711	0.8976444097	29547.87069
712	0.8977732751	29529.26449
713	0.8978672337	29515.69091
714	0.8979226626	29507.68052
715	0.8980268525	29492.61751
716	0.8981449541	29475.53392
717	0.8981607432	29473.24924
718	0.8982719167	29457.15752
719	0.8983135397	29451.13056
720	0.8983607473	29444.29348
721	0.8983663898	29443.47616
722	0.8984674616	29428.83216
723	0.8985690252	29414.10957
724	0.8986841032	29397.41901
725	0.8987771791	29383.91264
726	0.8987784522	29383.72785
727	0.8989787217	29354.64522
728	0.8990846547	29339.25024
729	0.8992406112	29316.57076
730	0.899314654	29305.79717
731	0.899319694	29305.06369
732	0.8994259691	29289.59283
733	0.8995325477	29274.06958
734	0.8996480493	29257.23739
735	0.8996957769	29250.27916
736	0.8998140159	29233.03392
737	0.8998332365	29230.2296
738	0.8999157557	29218.18693
739	0.9000447663	29199.34945
740	0.9001639741	29181.9325
741	0.9002103486	29175.15412
742	0.9002295259	29172.35058
743	0.9002409037	29170.68713
744	0.9003574382	29153.64414
745	0.9004788202	29135.88163
746	0.9005840043	29120.48067
747	0.9007174617	29100.92825
748	0.9008477129	29081.83287
749	0.9009950472	29060.21792
750	0.9010989307	29044.96782
751	0.9011660319	29035.11311
752	0.9012600268	29021.30308
753	0.9013371987	29009.95982
754	0.9014281974	28996.57848
755	0.9014616668	28991.65527
756	0.9015782822	28974.49507
757	0.9017064434	28955.62416
758	0.901786712	28943.79886
759	0.9018646384	28932.31398
760	0.9020145705	28910.20402
761	0.9021170264	28895.08547
762	0.9021257436	28893.79877
763	0.9022544705	28874.79156
764	0.902366869	28858.1851
765	0.9024392778	28847.48189
766	0.9025422123	28832.25966
767	0.9026389101	28817.9524
768	0.9027887067	28795.77468
769	0.902882237	28781.91864
770	0.9029307001	28774.73646
771	0.9030253154	28760.7094
772	0.9030262939	28760.5643
773	0.9031417352	28743.44035
774	0.9032250872	28731.07001
775	0.9032739655	28723.81346
776	0.9033792764	28708.17262
777	0.9034352939	28699.84939
778	0.9035536899	28682.24985
779	0.9036681214	28665.22935
780	0.9036727958	28664.53386
781	0.9037758704	28649.19357
782	0.9037774838	28648.9534
783	0.903834484	28640.46661
784	0.9039335172	28625.71554
785	0.9040359794	28610.44573
786	0.9041285466	28596.64353
787	0.904168976	28590.61324
788	0.904307653	28569.91902
789	0.9043543594	28562.94584
790	0.9044638598	28546.59093
791	0.9045005923	28541.10249
792	0.9046385056	28520.48656
793	0.9047183898	28508.53827
794	0.9047650873	28501.5514
795	0.9048445062	28489.66482
796	0.9049360416	28475.95861
797	0.9050407895	28460.26592
798	0.9051347519	28446.18168
799	0.9051361381	28445.97385
800	0.9051422008	28445.06485
801	0.9051919172	28437.60964
